id,text,date,amount,merchant,category,sub_category,direction
426,Rs. 2159 spent at Amazon on 22/09/2025. Avl Bal: Rs. 3326830,22/09/2025,2159.0,Amazon,Shopping,E-commerce,Debit
427,POS 12/09/2025 Dominos Pizza - INR 3970. Bal: Rs. 3322860,12/09/2025,3970.0,Dominos,Food,Dining,Debit
428,NEFT/ICIC0001234/Transfer Received of INR 21300 on 01/09/2025,01/09/2025,21300.0,Neft,Income,NEFT Transfer,Credit
429,Your salary Rs. 19464 credited to A/c XXXXX5678 on 12/09/2025,12/09/2025,19464.0,Salary,Income,Salary,Credit
430,Rs. 4731 spent at Amazon on 28/09/2025. Avl Bal: Rs. 3358893,28/09/2025,4731.0,Amazon,Shopping,E-commerce,Debit
431,POS 05/09/2025 Dominos Pizza - INR 3691. Bal: Rs. 3355202,05/09/2025,3691.0,Dominos,Food,Dining,Debit
432,Your a/c XXXXX1234 credited with INR 12499 via NEFT on 08/09/2025,08/09/2025,12499.0,Neft,Income,NEFT Transfer,Credit
433,Rs 3993 debited towards Rent Payment on 11/09/2025,11/09/2025,3993.0,Landlord,Bills,Rent,Debit
434,Your a/c XXXXX1234 credited with INR 38578 via NEFT on 09/09/2025,09/09/2025,38578.0,Neft,Income,NEFT Transfer,Credit
435,Rs. 2685 debited at Zomato on 21/09/2025. Bal: Rs. 3399601,21/09/2025,2685.0,Zomato,Food,Dining,Debit
436,Rs. 571 spent at Amazon on 18/09/2025. Avl Bal: Rs. 3399030,18/09/2025,571.0,Amazon,Shopping,E-commerce,Debit
437,INR 549 withdrawn from ATM at HDFC Bank on 16/09/2025,16/09/2025,549.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
438,INR 1750 withdrawn from ATM at HDFC Bank on 28/09/2025,28/09/2025,1750.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
439,Rs 1495 debited towards Rent Payment on 05/09/2025,05/09/2025,1495.0,Landlord,Bills,Rent,Debit
440,POS 28/09/2025 Myntra Purchase - INR 3311. Avl Bal: Rs. 3391925,28/09/2025,3311.0,Myntra,Shopping,Fashion,Debit
441,Your salary Rs. 19048 credited to A/c XXXXX5678 on 17/09/2025,17/09/2025,19048.0,Salary,Income,Salary,Credit
442,Your a/c XXXXX1234 credited with INR 40350 via NEFT on 04/09/2025,04/09/2025,40350.0,Neft,Income,NEFT Transfer,Credit
443,POS 23/09/2025 Dominos Pizza - INR 4585. Bal: Rs. 3446738,23/09/2025,4585.0,Dominos,Food,Dining,Debit
444,POS 03/09/2025 Myntra Purchase - INR 2634. Avl Bal: Rs. 3444104,03/09/2025,2634.0,Myntra,Shopping,Fashion,Debit
445,Rs. 4983 spent at Amazon on 07/09/2025. Avl Bal: Rs. 3439121,07/09/2025,4983.0,Amazon,Shopping,E-commerce,Debit
446,INR 875 withdrawn from ATM at HDFC Bank on 15/09/2025,15/09/2025,875.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
447,UPI/GooglePay credited Rs 21908 from Rahul on 23/09/2025,23/09/2025,21908.0,Googlepay,UPI,UPI Payment,Credit
448,UPI/GooglePay credited Rs 48855 from Rahul on 23/09/2025,23/09/2025,48855.0,Googlepay,UPI,UPI Payment,Credit
449,UPI/GooglePay credited Rs 56502 from Rahul on 21/09/2025,21/09/2025,56502.0,Googlepay,UPI,UPI Payment,Credit
450,UPI/GooglePay credited Rs 17288 from Rahul on 16/09/2025,16/09/2025,17288.0,Googlepay,UPI,UPI Payment,Credit
451,Rs. 3245 spent at Amazon on 15/09/2025. Avl Bal: Rs. 3579554,15/09/2025,3245.0,Amazon,Shopping,E-commerce,Debit
452,UPI payment of Rs 3395 to PAYTM successful on 28/09/2025,28/09/2025,3395.0,Paytm,UPI,UPI Payment,Debit
453,Your account credited with Rs. 59663 cashback from Flipkart,--,59663.0,Flipkart,Income,Cashback,Credit
454,UPI payment of Rs 1926 to PAYTM successful on 06/09/2025,06/09/2025,1926.0,Paytm,UPI,UPI Payment,Debit
455,UPI/GooglePay credited Rs 38837 from Rahul on 18/09/2025,18/09/2025,38837.0,Googlepay,UPI,UPI Payment,Credit
456,UPI payment of Rs 4069 to PAYTM successful on 16/09/2025,16/09/2025,4069.0,Paytm,UPI,UPI Payment,Debit
457,Your salary Rs. 21633 credited to A/c XXXXX5678 on 14/09/2025,14/09/2025,21633.0,Salary,Income,Salary,Credit
458,Rs. 4355 debited at Zomato on 15/09/2025. Bal: Rs. 3685942,15/09/2025,4355.0,Zomato,Food,Dining,Debit
459,Your salary Rs. 3603 credited to A/c XXXXX5678 on 18/09/2025,18/09/2025,3603.0,Salary,Income,Salary,Credit
460,POS 28/09/2025 Dominos Pizza - INR 1291. Bal: Rs. 3688254,28/09/2025,1291.0,Dominos,Food,Dining,Debit
461,POS 25/09/2025 Myntra Purchase - INR 3416. Avl Bal: Rs. 3684838,25/09/2025,3416.0,Myntra,Shopping,Fashion,Debit
462,Electricity Bill Payment of Rs 3066 successful via PhonePe,--,3066.0,Phonepe,Bills,Electricity,Debit
463,NEFT/ICIC0001234/Transfer Received of INR 30853 on 09/09/2025,09/09/2025,30853.0,Neft,Income,NEFT Transfer,Credit
464,Your account credited with Rs. 59569 cashback from Flipkart,--,59569.0,Flipkart,Income,Cashback,Credit
465,INR 2197 withdrawn from ATM at HDFC Bank on 08/09/2025,08/09/2025,2197.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
466,POS 06/09/2025 Dominos Pizza - INR 573. Bal: Rs. 3769424,06/09/2025,573.0,Dominos,Food,Dining,Debit
467,Electricity Bill Payment of Rs 1522 successful via PhonePe,--,1522.0,Phonepe,Bills,Electricity,Debit
468,Electricity Bill Payment of Rs 1900 successful via PhonePe,--,1900.0,Phonepe,Bills,Electricity,Debit
469,INR 4645 withdrawn from ATM at HDFC Bank on 16/09/2025,16/09/2025,4645.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
470,UPI payment of Rs 1466 to PAYTM successful on 28/09/2025,28/09/2025,1466.0,Paytm,UPI,UPI Payment,Debit
471,Electricity Bill Payment of Rs 2080 successful via PhonePe,--,2080.0,Phonepe,Bills,Electricity,Debit
472,Rs 4871 debited towards Rent Payment on 26/09/2025,26/09/2025,4871.0,Landlord,Bills,Rent,Debit
473,Rs 4289 debited towards Rent Payment on 15/09/2025,15/09/2025,4289.0,Landlord,Bills,Rent,Debit
474,Rs 1773 debited towards Rent Payment on 10/09/2025,10/09/2025,1773.0,Landlord,Bills,Rent,Debit
475,Rs. 635 debited at Zomato on 22/09/2025. Bal: Rs. 3746243,22/09/2025,635.0,Zomato,Food,Dining,Debit
476,Your salary Rs. 59682 credited to A/c XXXXX5678 on 08/09/2025,08/09/2025,59682.0,Salary,Income,Salary,Credit
477,UPI payment of Rs 2497 to PAYTM successful on 23/09/2025,23/09/2025,2497.0,Paytm,UPI,UPI Payment,Debit
478,UPI payment of Rs 914 to PAYTM successful on 22/09/2025,22/09/2025,914.0,Paytm,UPI,UPI Payment,Debit
479,POS 14/09/2025 Dominos Pizza - INR 1610. Bal: Rs. 3800904,14/09/2025,1610.0,Dominos,Food,Dining,Debit
480,Your salary Rs. 41780 credited to A/c XXXXX5678 on 28/09/2025,28/09/2025,41780.0,Salary,Income,Salary,Credit
481,Payment of Rs 765 made to Uber on 25/09/2025 via GPay,25/09/2025,765.0,Uber,Transport,Ride Sharing,Debit
482,NEFT/ICIC0001234/Transfer Received of INR 48329 on 08/09/2025,08/09/2025,48329.0,Neft,Income,NEFT Transfer,Credit
483,Electricity Bill Payment of Rs 3675 successful via PhonePe,--,3675.0,Phonepe,Bills,Electricity,Debit
484,NEFT/ICIC0001234/Transfer Received of INR 52837 on 14/09/2025,14/09/2025,52837.0,Neft,Income,NEFT Transfer,Credit
485,Electricity Bill Payment of Rs 1099 successful via PhonePe,--,1099.0,Phonepe,Bills,Electricity,Debit
486,Your account credited with Rs. 54775 cashback from Flipkart,--,54775.0,Flipkart,Income,Cashback,Credit
487,INR 4210 withdrawn from ATM at HDFC Bank on 27/09/2025,27/09/2025,4210.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
488,Rs 3225 debited towards Rent Payment on 21/09/2025,21/09/2025,3225.0,Landlord,Bills,Rent,Debit
489,Your account credited with Rs. 35854 cashback from Flipkart,--,35854.0,Flipkart,Income,Cashback,Credit
490,INR 1746 withdrawn from ATM at HDFC Bank on 12/09/2025,12/09/2025,1746.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
491,INR 132 withdrawn from ATM at HDFC Bank on 09/09/2025,09/09/2025,132.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
492,Payment of Rs 3914 made to Uber on 25/09/2025 via GPay,25/09/2025,3914.0,Uber,Transport,Ride Sharing,Debit
493,Your account credited with Rs. 32856 cashback from Flipkart,--,32856.0,Flipkart,Income,Cashback,Credit
494,POS 13/09/2025 Myntra Purchase - INR 2589. Avl Bal: Rs. 4045980,13/09/2025,2589.0,Myntra,Shopping,Fashion,Debit
495,UPI payment of Rs 2778 to PAYTM successful on 21/09/2025,21/09/2025,2778.0,Paytm,UPI,UPI Payment,Debit
496,POS 06/09/2025 Dominos Pizza - INR 119. Bal: Rs. 4043083,06/09/2025,119.0,Dominos,Food,Dining,Debit
497,Electricity Bill Payment of Rs 4511 successful via PhonePe,--,4511.0,Phonepe,Bills,Electricity,Debit
498,Your a/c XXXXX1234 credited with INR 14168 via NEFT on 20/09/2025,20/09/2025,14168.0,Neft,Income,NEFT Transfer,Credit
499,Rs. 2494 debited at Zomato on 05/09/2025. Bal: Rs. 4050246,05/09/2025,2494.0,Zomato,Food,Dining,Debit
500,Rs 4724 debited towards Rent Payment on 27/09/2025,27/09/2025,4724.0,Landlord,Bills,Rent,Debit
501,Payment of Rs 3914 made to Uber on 25/09/2025 via GPay,25/09/2025,3914.0,Uber,Transport,Ride Sharing,Debit
